Country,Investment area,Year,Funder,Amount,Unit,Row type,Category (as printed in MoU),Source note,MoU footnote (verbatim),MoU footnote location,Source (MoU PDF)
Kenya,Frontline healthcare workers,2026,USG,101544.0,USD,Appendix detail (do not sum),App.3 frontline funding: Radiographer,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2027,USG,101544.0,USD,Appendix detail (do not sum),App.3 frontline funding: Radiographer,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2028,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Radiographer,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2029,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Radiographer,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline healthcare workers,2030,USG,0.0,USD,Appendix detail (do not sum),App.3 frontline funding: Radiographer,,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2026,Government,0.0,USD,Line item,NEW GoK: Lab Commodities,total incl. 2031,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2027,Government,4488292.0,USD,Line item,NEW GoK: Lab Commodities,total incl. 2031,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2028,Government,9724633.0,USD,Line item,NEW GoK: Lab Commodities,total incl. 2031,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2029,Government,14960974.0,USD,Line item,NEW GoK: Lab Commodities,total incl. 2031,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2030,Government,14960974.0,USD,Line item,NEW GoK: Lab Commodities,total incl. 2031,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Laboratory commodities,2031,Government,14960974.0,USD,Line item,NEW GoK: Lab Commodities,total incl. 2031,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2026,Government,0.0,USD,Line item,NEW GoK: Frontline Lab Workers,Row mislabeled '# FTEs' in App.1 but values are USD; total incl. 2031,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2027,Government,0.0,USD,Line item,NEW GoK: Frontline Lab Workers,Row mislabeled '# FTEs' in App.1 but values are USD; total incl. 2031,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2028,Government,6462293.0,USD,Line item,NEW GoK: Frontline Lab Workers,Row mislabeled '# FTEs' in App.1 but values are USD; total incl. 2031,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
Kenya,Frontline lab workers,2029,Government,6462293.0,USD,Line item,NEW GoK: Frontline Lab Workers,Row mislabeled '# FTEs' in App.1 but values are USD; total incl. 2031,,,https://www.citizen.org/wp-content/uploads/2026-0007QN-Kenya-Health-12.4.2025.pdf
