Country,Investment area,Year,Funder,Amount,Basis
Liberia,Data systems,2026,USG,8056796.0,Printed in MoU
Liberia,Data systems,2027,USG,6705396.0,Printed in MoU
Liberia,Data systems,2028,USG,6517396.0,Printed in MoU
Liberia,Data systems,2029,USG,2054096.0,Printed in MoU
Liberia,Data systems,2030,USG,2800000.0,Printed in MoU
Liberia,Frontline healthcare workers,2026,Government,1189584.0,Printed in MoU
Liberia,Frontline healthcare workers,2027,Government,3394320.0,Printed in MoU
Liberia,Frontline healthcare workers,2028,Government,5426160.0,Printed in MoU
Liberia,Frontline healthcare workers,2029,Government,7626000.0,Printed in MoU
Liberia,Frontline healthcare workers,2030,Government,9825840.0,Printed in MoU
Liberia,Frontline healthcare workers,2026,USG,1405536.0,Printed in MoU
Liberia,Frontline healthcare workers,2027,USG,1008480.0,Printed in MoU
Liberia,Frontline healthcare workers,2028,USG,784320.0,Printed in MoU
Liberia,Frontline healthcare workers,2029,USG,392160.0,Printed in MoU
Liberia,Frontline healthcare workers,2030,USG,0.0,Printed in MoU
Liberia,Frontline lab workers,2026,Government,0.0,Printed in MoU
Liberia,Frontline lab workers,2027,Government,1341984.0,Printed in MoU
Liberia,Frontline lab workers,2028,Government,317400.0,Printed in MoU
Liberia,Frontline lab workers,2029,Government,496800.0,Printed in MoU
Liberia,Frontline lab workers,2030,Government,697200.0,Printed in MoU
Liberia,Frontline lab workers,2026,USG,697200.0,Printed in MoU
Liberia,Frontline lab workers,2027,USG,544800.0,Printed in MoU
Liberia,Frontline lab workers,2028,USG,379800.0,Printed in MoU
Liberia,Frontline lab workers,2029,USG,496800.0,Printed in MoU
Liberia,Frontline lab workers,2030,USG,0.0,Printed in MoU
Liberia,Laboratory commodities,2026,Government,1620000.0,Printed in MoU
Liberia,Laboratory commodities,2027,Government,1670000.0,Printed in MoU
Liberia,Laboratory commodities,2028,Government,1720000.0,Printed in MoU
Liberia,Laboratory commodities,2029,Government,1770000.0,Printed in MoU
Liberia,Laboratory commodities,2030,Government,1820000.0,Printed in MoU
Liberia,Laboratory commodities,2026,USG,5560194.0,Printed in MoU
Liberia,Laboratory commodities,2027,USG,5985544.0,Printed in MoU
Liberia,Laboratory commodities,2028,USG,5480294.0,Printed in MoU
Liberia,Laboratory commodities,2029,USG,1366244.0,Printed in MoU
Liberia,Laboratory commodities,2030,USG,2760400.0,Printed in MoU
Liberia,Other commodities,2026,Government,6302000.0,Printed in MoU
Liberia,Other commodities,2027,Government,8402000.0,Printed in MoU
Liberia,Other commodities,2028,Government,9802000.0,Printed in MoU
Liberia,Other commodities,2029,Government,11802000.0,Printed in MoU
Liberia,Other commodities,2030,Government,16302000.0,Printed in MoU
Liberia,Other commodities,2026,USG,10539600.0,Printed in MoU
Liberia,Other commodities,2027,USG,8439600.0,Printed in MoU
Liberia,Other commodities,2028,USG,7039600.0,Printed in MoU
Liberia,Other commodities,2029,USG,5039600.0,Printed in MoU
Liberia,Other commodities,2030,USG,539600.0,Printed in MoU
Liberia,Strategic assistance / investment,2026,USG,5754414.0,Printed in MoU
Liberia,Strategic assistance / investment,2027,USG,5501970.0,Printed in MoU
Liberia,Strategic assistance / investment,2028,USG,5244080.0,Printed in MoU
Liberia,Strategic assistance / investment,2029,USG,470000.0,Printed in MoU
Liberia,Strategic assistance / investment,2030,USG,450000.0,Printed in MoU
Liberia,Surveillance & outbreak response,2026,USG,2519792.0,Printed in MoU
Liberia,Surveillance & outbreak response,2027,USG,2519792.0,Printed in MoU
Liberia,Surveillance & outbreak response,2028,USG,2519792.0,Printed in MoU
Liberia,Surveillance & outbreak response,2029,USG,1519792.0,Printed in MoU
Liberia,Surveillance & outbreak response,2030,USG,2519792.0,Printed in MoU
Liberia,Technical assistance,2026,USG,2165948.0,Printed in MoU
Liberia,Technical assistance,2027,USG,3079898.0,Printed in MoU
Liberia,Technical assistance,2028,USG,2624198.0,Printed in MoU
Liberia,Technical assistance,2029,USG,1296788.0,Printed in MoU
Liberia,Technical assistance,2030,USG,1638688.0,Printed in MoU
Mozambique,All areas combined,2027,Government,66000.0,Imputed from FTEs
Mozambique,All areas combined,2028,Government,198000.0,Imputed from FTEs
Mozambique,All areas combined,2029,Government,396000.0,Imputed from FTEs
Mozambique,All areas combined,2030,Government,693000.0,Imputed from FTEs
Mozambique,All areas combined,2026,Government,5000000.0,Printed in MoU
Mozambique,All areas combined,2027,Government,12775572.0,Printed in MoU
Mozambique,All areas combined,2028,Government,19596056.0,Printed in MoU
Mozambique,All areas combined,2029,Government,24435367.0,Printed in MoU
Mozambique,All areas combined,2030,Government,33766111.0,Printed in MoU
Mozambique,All areas combined,2026,USG,441334000.0,Printed in MoU
Mozambique,All areas combined,2027,USG,403734000.0,Printed in MoU
Mozambique,All areas combined,2028,USG,386094000.0,Printed in MoU
Mozambique,All areas combined,2029,USG,322034000.0,Printed in MoU
Mozambique,All areas combined,2030,USG,276184000.0,Printed in MoU
Mozambique,Data systems,2026,USG,16666385.0,Printed in MoU
Mozambique,Data systems,2027,USG,28230116.0,Printed in MoU
Mozambique,Data systems,2028,USG,18533429.0,Printed in MoU
Mozambique,Data systems,2029,USG,11129710.0,Printed in MoU
Mozambique,Data systems,2030,USG,8512439.0,Printed in MoU
Mozambique,Frontline healthcare workers,2026,Government,0.0,Printed in MoU
Mozambique,Frontline healthcare workers,2027,Government,4697311.0,Printed in MoU
Mozambique,Frontline healthcare workers,2028,Government,9465621.0,Printed in MoU
Mozambique,Frontline healthcare workers,2029,Government,14304932.0,Printed in MoU
Mozambique,Frontline healthcare workers,2030,Government,18505242.0,Printed in MoU
Mozambique,Frontline healthcare workers,2026,USG,36963448.0,Printed in MoU
Mozambique,Frontline healthcare workers,2027,USG,32654200.0,Printed in MoU
Mozambique,Frontline healthcare workers,2028,USG,27042028.0,Printed in MoU
Mozambique,Frontline healthcare workers,2029,USG,24854804.0,Printed in MoU
Mozambique,Frontline healthcare workers,2030,USG,21324198.0,Printed in MoU
Mozambique,Frontline lab workers,2027,Government,66000.0,Imputed from FTEs
Mozambique,Frontline lab workers,2028,Government,198000.0,Imputed from FTEs
Mozambique,Frontline lab workers,2029,Government,396000.0,Imputed from FTEs
Mozambique,Frontline lab workers,2030,Government,693000.0,Imputed from FTEs
Mozambique,Frontline lab workers,2026,USG,858200.0,Printed in MoU
Mozambique,Frontline lab workers,2027,USG,792200.0,Printed in MoU
Mozambique,Frontline lab workers,2028,USG,660200.0,Printed in MoU
Mozambique,Frontline lab workers,2029,USG,462200.0,Printed in MoU
Mozambique,Frontline lab workers,2030,USG,0.0,Printed in MoU
Mozambique,Laboratory commodities,2026,Government,0.0,Printed in MoU
Mozambique,Laboratory commodities,2027,Government,0.0,Printed in MoU
Mozambique,Laboratory commodities,2028,Government,0.0,Printed in MoU
Mozambique,Laboratory commodities,2029,Government,0.0,Printed in MoU
Mozambique,Laboratory commodities,2030,Government,0.0,Printed in MoU
Mozambique,Laboratory commodities,2026,USG,32222465.0,Printed in MoU
Mozambique,Laboratory commodities,2027,USG,32222465.0,Printed in MoU
Mozambique,Laboratory commodities,2028,USG,32222465.0,Printed in MoU
Mozambique,Laboratory commodities,2029,USG,32222465.0,Printed in MoU
Mozambique,Laboratory commodities,2030,USG,32222465.0,Printed in MoU
Mozambique,Other commodities,2026,Government,5000000.0,Printed in MoU
Mozambique,Other commodities,2027,Government,8078261.0,Printed in MoU
Mozambique,Other commodities,2028,Government,10130435.0,Printed in MoU
Mozambique,Other commodities,2029,Government,10130435.0,Printed in MoU
Mozambique,Other commodities,2030,Government,15260869.0,Printed in MoU
Mozambique,Other commodities,2026,USG,69111507.0,Printed in MoU
Mozambique,Other commodities,2027,USG,66111507.0,Printed in MoU
Mozambique,Other commodities,2028,USG,64111507.0,Printed in MoU
Mozambique,Other commodities,2029,USG,64111507.0,Printed in MoU
Mozambique,Other commodities,2030,USG,59111507.0,Printed in MoU
